SEQUENCE,ref_num_code,Complete,,Condition Code,Message Data Element,Data Format,Data Element Code,data_element_chk_ind,Fixed Value Constant
2,1.1,Yes,3,M,Message Type,aaa,101,,FHL
3,1.2,Yes,3,M,Separator,Slant,,,
4,1.3,Yes,3,M,Message Version,n,124,,
5,1.4,Yes,3,M,Separator,CRLF,,,
7,2.1,,3,M,Line Identifier ,aaa,103,,MBI
8,2.2,,3,M,Separator,Slant,,,
9,2.3,,3,M,Master AWB Identification,,,,
10,2.3.1,,5,M,Airline Prefix,nnn,112,,
11,2.3.2,,5,M,Separator,Hyphen,,,
12,2.3.3,,5,M,AWB Serial Number,n[8],113,,
13,2.4,,3,M,AWB Origin and Destination,,,,
14,2.4.1,,5,M,Aiport Orgin City,aaa,313,,
15,2.4.2,,5,M,Airport Destinition City,aaa,313,,
16,2.5,,3,M,Quantity Detail,,,,
17,2.5.1,,5,M,Separator,Slant,,,
18,2.5.2,,5,M,Shipment Description Code,a,703,Y,
19,2.5.3,,5,M,Number of Pieces,n[...4],701,,
20,2.5.4,,5,M,Weight Code,a,601,Y,
21,2.5.5,,5,M,Weight,n[...7]p,600,,
26,2.6,,3,M,Separator,CRLF,,,
28,3.1,,3,M,House Shiper Consigne Charge,,,,
29,3.1.1,,5,M,House Waybill Summary Details,,,,
30,3.1.1.1,,7,M,Line Identifier,aaa,103,,HBS
31,3.1.1.2,,7,M,Separator,Slant,,,
32,3.1.1.3,,7,M,HWB Serial Number,m[1...12],119,,
33,3.1.1.4,,7,M,Separator,Slant,,,
34,3.1.1.5,,7,M,House Waybill Origin and Destination,,,,
35,3.1.1.5.1,,9,M,Airport City Code Departure,aaa,313,,
36,3.1.1.5.2,,9,M,Airport City Code Dstination,aaa,313,,
37,3.1.1.6,,7,M,Separator,Slant,,,
38,3.1.1.7,,7,M,House Waybill Totals,,,,
39,3.1.1.7.1,,9,M,Number of Pieces,n[...4],701,,
40,3.1.1.7.2,,9,M,Separator,Slant,,,
41,3.1.1.7.3,,9,M,Weight Code,a,601,Y,
42,3.1.1.7.4,,9,M,Weight,n[...7]p,600,,
43,3.1.1.7.5,,9,M,Separator,Slant,,,
44,3.1.1.7.6,,9,O,SLAC,n[...5],,,
45,3.1.1.8,,7,M,Nature of Goods,,,,
46,3.1.1.8.1,,9,M,Separator,Slant,,,
47,3.1.1.8.2.1,,11,M,Manifest Description of Goods,r[1...15],708,,
48,3.1.1.9,,7,M,Separator,CRLF,,,
49,3.1.1.10,,8,O,Special Handling Requirements,,,,
50,3.1.1.10.1,,10,M,Separator,Slant,,,
51,3.1.1.10.2,,10,M,Special Handling Code,aaa,705,,
52,3.1.1.11,,8,M,Separator,CRLF,,,
53,3.1.2,,5,O,Free Text Description of Goods,,,,
54,3.1.2.1,,7,M,Line Identifier,aaa,103,,TXT
55,3.1.2.2,,7,M,Separator,Slant,,,
56,3.1.2.3,,7,M,Free Text,t[...65],127,,
57,3.1.2.4,,7,M,Separator,CRLF,,,
58,3.1.3,,5,O,Harmonised Tariff Schedule Information,,,,
59,3.1.3.1,,7,M,cf:Line Identifier,aaa,103,,HTS
60,3.1.3.2,,7,M,Separator,Slant,,,
61,3.1.3.3,,7,M,Harmonised Commodity Code,m[6...18],900,,
62,3.1.3.4,,7,M,Separator,CRLF,,,
63,3.1.4,,5,O,Other Customs Security and Regulatory Control Information,,,,
64,3.1.4.1,,7,M,Line Identifier,aaa,103,,OCI
65,3.1.4.2,,7,M,Separator,Slant,,,
66,3.1.4.3,,7,O,ISO Country Code,aa,304,,
67,3.1.4.4,,7,M,Separator,Slant,,,
68,3.1.4.5,,7,O,Information Identifier,aaa,103,,
69,3.1.4.6,,7,M,Separator,Slant,,,
70,3.1.4.7,,7,M,"Customs, Security and Regulatory Control Information Identifier",a[...2],941,,
71,3.1.4.8,,7,M,Separator,Slant,,,
72,3.1.4.9,,7,M,"Supplementary Customs, Security and Regulatory Control Information",t[...35],940,,
73,3.1.4.10,,8,M,Separator,CRLF,,,
74,3.1.5,,5,O,Shipper Name and Address,,,,
75,3.1.5.1,,7,M,Line Identifier,aaa,103,,SHP
76,3.1.5.2,,7,M,Separator,CRLF,,,
77,3.1.5.3,,7,M,Name,,,,
78,3.1.5.3.1,,9,M,Information Identifier,aaa,103,,NAM
79,3.1.5.3.2,,9,M,Separator,Slant,,,
80,3.1.5.3.3,,9,M,Name,t[...35],300,,
81,3.1.5.3.4,,9,M,Separator,CRLF,,,
82,3.1.5.4,,7,M,Street Address,,,,
83,3.1.5.4.1,,9,M,Information Identifier,aaa,103,,ADR
84,3.1.5.4.2,,9,M,Separator,Slant,,,
85,3.1.5.4.3,,9,M,Street Address,t[...35],301,,
86,3.1.5.4.4,,9,M,Separator,CRLF,,,
87,3.1.5.5,,7,M,Location,,,,
88,3.1.5.5.1,,9,M,Information Identifier,aaa,103,,LOC
89,3.1.5.5.2,,9,M,Separator,Slant,,,
90,3.1.5.5.3,,9,M,Place,t[...17],302,,
91,3.1.5.5.4,,9,O,Separator,Slant,,,
92,3.1.5.5.5,,9,O,State/Province,t[...9],303,,
93,3.1.5.5.6,,9,M,Separator,CRLF,,,
94,3.1.5.6,,7,M,Coded Location,,,,
95,3.1.5.6.1,,9,M,Separator,Slant,,,
96,3.1.5.6.2,,9,M,ISO Country Code,aa,304,,
97,3.1.5.6.3,,9,O,Separator,Slant,,,
98,3.1.5.6.4,,9,O,Post Code,t[...9],305,,
99,3.1.5.7,,7,O,Contact Detail,,,,
100,3.1.5.7.1,,9,M,Separator,Slant,,,
101,3.1.5.7.2,,9,M,Contact Identifier,m[...3],122,,
102,3.1.5.7.3,,9,M,Separator,Slant,,,
103,3.1.5.7.4,,9,M,Contact Number,m[...25],123,,
104,3.1.5.8,,7,M,Separator,CRLF,,,
105,3.1.6,,5,O,Consignee Name and Address,,,,
106,3.1.6.1,,7,M,Line Identifier,aaa,103,,CNE
107,3.1.6.2,,7,M,Separator,CRLF,,,
108,3.1.6.3,,7,M,Name,,,,
109,3.1.6.3.1,,9,M,Information Identifier,aaa,103,,NAM
110,3.1.6.3.2,,9,M,Separator,Slant,,,
111,3.1.6.3.3,,9,M,Name,t[...35],300,,
112,3.1.6.3.4,,9,M,Separator,CRLF,,,
113,3.1.6.4,,7,M,Street Address,,,,
114,3.1.6.4.1,,9,M,Information Identifier,aaa,103,,ADR
115,3.1.6.4.2,,9,M,Separator,Slant,,,
116,3.1.6.4.3,,9,M,Street Address,t[...35],301,,
117,3.1.6.4.4,,9,M,Separator,CRLF,,,
118,3.1.6.5,,7,M,Location,,,,
119,3.1.6.5.1,,9,M,Information Identifier,aaa,103,,LOC
120,3.1.6.5.2,,9,M,Separator,Slant,,,
121,3.1.6.5.3,,9,M,Place,t[...17],302,,
122,3.1.6.5.4,,9,O,Separator,Slant,,,
123,3.1.6.5.5,,9,O,State or Province,t[...9],303,,
124,3.1.6.5.6,,9,M,Separator,CRLF,,,
125,3.1.6.6,,7,M,Coded Location,,,,
126,3.1.6.6.1,,9,M,Separator,Slant,,,
127,3.1.6.6.2,,9,M,ISO Country Code,aa,304,,
128,3.1.6.6.3,,9,O,Separator,Slant,,,
129,3.1.6.6.4,,9,O,Post Code,t[...9],305,,
130,3.1.6.7,,7,O,Contact Detail,,,,
131,3.1.6.7.1,,9,M,Separator,Slant,,,
132,3.1.6.7.2,,9,M,Contact Identifier,m[...3,122,,
133,3.1.6.7.3,,9,M,Separator,Slant,,,
134,3.1.6.7.4,,9,M,Contact Number,m[...25],123,,
135,3.1.6.8,,7,M,Separator,CRLF,,,
136,3.1.7,,5,O,Charge Declarations,,,,
137,3.1.7.1,,7,M,Line Identifier,aaa,103,,CVD
138,3.1.7.2,,7,M,Separator,Slant,,,
139,3.1.7.3,,7,M,ISO Currency Code,aaa,606,,
140,3.1.7.4,,7,M,Separator,Slant,,,
141,3.1.7.5,,7,M,Prepaid Collect Charge Declarations,,,,
142,3.1.7.5.1,,9,M,PC Ind Weight Valuation,a,403,,
143,3.1.7.5.2,,9,M,PC Ind Other Charges,a,403,,
144,3.1.7.6,,7,M,Value for Carriage Declaration,,,,
145,3.1.7.6.1,,9,M,Separator,Slant,,,
146,3.1.7.6.2,,9,M,Declared Value for Carriage,n[...12]p,510,,
147,3.1.7.6.3,,9,M,No Value Declared ,aaa,,,NVD
148,3.1.7.7,,7,M,Value for Customs Declaration,,,,
149,3.1.7.7.1,,9,M,Separator,Slant,,,
150,3.1.7.7.2,,9,M,Declared Value for Customs,n[...12]p,509,,
151,3.1.7.7.3,,9,M,No Customs Value,aaa,,,NCV
152,3.1.7.8,,7,M,Value for Insurance Declaration,,,,
153,3.1.7.8.1,,9,M,Separator,Slant,,,
154,3.1.7.8.2,,9,M,Declared Value for Insurance,n[...11]p,508,,
155,3.1.7.8.3,,9,M,No Value,aaa,,,XXX
156,3.1.7.9,,7,M,Separator,CRLF,,,
157,3.2,,3,M,House Free Harmonised Custom,,,,
158,3.2.1,,5,M,House Waybill Summary Details,,,,
159,3.2.1.1,,7,M,Line Identifier,aaa,103,,HBS
160,3.2.1.2,,7,M,Separator,Slant,,,
161,3.2.1.3,,7,M,HWB Serial Number,m[1...12],119,,
162,3.2.1.4,,7,M,Separator,Slant,,,
163,3.2.1.5,,7,M,House Waybill Origin and Destination,,,,
164,3.2.1.5.1,,9,M,Airport City Code  Departure,aaa,313,,
165,3.2.1.5.2,,9,M,Airport City Code  Destination,aaa,313,,
166,3.2.1.6,,7,M,Separator,Slant,,,
167,3.2.1.7,,7,M,House Waybill Totals,,,,
168,3.2.1.7.1,,9,M,Number of Pieces,n[...4],701,,
169,3.2.1.7.2,,9,M,Separator,Slant,,,
170,3.2.1.7.3,,9,M,Weight Code,a,601,Y,
171,3.2.1.7.4,,9,M,Weight,n[...7]p,600,,
172,3.2.1.7.5,,9,M,Separator,Slant,,,
173,3.2.1.7.6,,9,O,SLAC,n[...5],,,
174,3.2.1.8,,7,M,Nature of Goods,,,,
175,3.2.1.8.1,,9,M,Separator,Slant,,,
176,3.2.1.8.2,,9,M,Manifest Description of Goods,t[...15],708,,
177,3.2.1.9,,7,M,Separator,CRLF,,,
178,3.2.1.10,,8,O,Special Handling Requirements,,,,
179,3.2.1.10.1,,10,M,Separator,Slant,,,
180,3.2.1.10.2,,10,M,Special Handling Code,aaa,705,,
181,3.2.1.11,,8,M,Separator,CRLF,,,
182,3.2.2,,5,O,Free Text Description of Goods,,,,
183,3.2.2.1,,7,M,Line Identifier,aaa,103,,TXT
184,3.2.2.2,,7,M,Separator,Slant,,,
185,3.2.2.3,,7,M,Free Text,t[...65],127,,
186,3.2.2.4,,7,M,Separator,CRLF,,,
187,3.2.3,,5,O,Harmonised Tariff Schedule Information,,,,
188,3.2.3.1,,7,M,Line Identifier,aaa,103,,HTS
189,3.2.3.2,,7,M,Separator,Slant,,,
190,3.2.3.3,,7,M,Harmonised Commodity Code,m[6...18],900,,
191,3.2.3.4,,7,M,Separator,CRLF,,,
192,3.2.4,,5,M,Other Customs Security and Regulatory Control Information,,,,
193,3.2.4.1,,7,M,Line Identifier,aaa,103,,OCI
194,3.2.4.2,,7,M,Separator,Slant,,,
195,3.2.4.3,,7,O,ISO Country Code,aa,304,,
196,3.2.4.4,,7,M,Separator,Slant,,,
197,3.2.4.5,,7,O,Information Identifier,aaa,103,,
198,3.2.4.6,,7,M,Separator,Slant,,,
199,3.2.4.7,,7,O,Customs Security and Regulatory Control Information Identifier,a[...2],941,,
200,3.2.4.8,,7,M,Separator,Slant,,,
201,3.2.4.9,,7,M,Supplementary Customs Security and Regulatory Control Information,t[...35],940,,
202,3.2.4.10,,8,M,Separator,CRLF,,,
