ref_num_code,cndn_code,msg_data_element_name,data_format,data_element_code,data_element_chk_ind,fixed_val,ignore_record_ind,sort_seq_num,msg_id,msg_typ,msg_ver,rmk,msg_std_code,def_msg_ind,cre_datt_bu,cre_by,mod_datt_bu,mod_by,txn_id,ver_id,eix_id,par_fmtr_ind,,,,
1,M,Standard Message Identification,,,,,N,1,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
1.1,M,Standard Message Identifier,aaa,101,,FSU,N,2,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
1.2,M,Separator,Slant,,,,N,3,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
1.3,M,Message Type Version Number,n[...3],124,,,N,4,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
1.4,M,Separator,CRLF,,,,N,5,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2,M,Consignment Detail,,,,,N,6,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.1,M,AWB Identification,,,,,N,7,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.1.1,M,Airline Prefix,nnn,112,,,N,8,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.1.2,M,Separator,Hyphen,,,,N,9,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.1.3,M,AWB Serial Number,n[8],113,,,N,10,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.2,O,AWB Origin and Destination,,,,,N,11,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.2.1,M,AWB Origin,aaa,313,,,N,12,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.2.2,M,AWB Destination,aaa,313,,,N,13,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3,O,Consignment Quantity Detail ,,,,,N,14,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3.1,M,Separator,Slant,,,,N,15,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3.2,M,Shipment Desc Code ,a,703,Y,,N,16,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3.3,M,Number of Pieces,n[...4],,,,N,17,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3.4,O,Weight Code,a,601,Y,,N,18,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.3.5,O,Weight,n[...7]p,600,,,N,19,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.4,O,Total Consignment Pieces,,,,,N,20,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.4.1,M,Shipment Description Code ,a,703,,T,N,21,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.4.2,M,Number of Pieces,n[...4],701,,,N,22,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
2.5,M,Separator,CRLF,,,,N,23,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3,O,Status Details RCS,,,,,N,24,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.1,M,Status Code RCS,aaa,400,,RCS,N,25,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.2,M,Separator,Slant,,,,N,26,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3,M,Movement Detail RCS,,,,,N,27,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3.1,M,Day of Receipt,nn,202,,,N,28,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3.2,M,Month of Receipt,aaa,201,,,N,29,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3.3,O,Actual Time,nnnn,203,,,N,30,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3.4,M,Separator,Slant,,,,N,31,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.3.5,M,Airport Code of Receipt,aaa,313,,,N,32,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4,M,Status Quantity Detail RCS,,,,,N,33,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4.1,M,Separator,Slant,,,,N,34,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4.2,M,Shipment Desc Code ,a,703,Y,,N,35,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4.3,M,Number of Pieces ,n[...4],701,,,N,36,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4.4,O,Weight Code ,a,601,Y,,N,37,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.4.5,O,Weight ,n[...7]p,600,,,N,38,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.5,O,Received from Detail RCS,,,,,N,39,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.5.1,M,Separator,Slant,,,,N,40,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.5.2,M,Name,t[...35],300,,,N,41,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.6,M,Separator,CRLF,,,,N,42,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.8,O,Volume Detail RCS,,,,,N,43,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.8.1,M,Separator,Slant,,,,N,44,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.8.2,M,Volume Code,aa,604,Y,,N,45,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.8.3,M,Volume Amount,n[...9]p,500,,,N,46,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.9,O,Density Group RCS,,,,,N,47,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.9.1,M,Separator,Slant,,,,N,48,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.9.2,M,Density Indicator DG,aa,603,,DG,N,49,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.9.3,M,Density Group,n[...2],602,,,N,50,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
3.10,O,Separator,CRLF,,,,N,51,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4,O,Status Details RCT,,,,,N,52,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.1,M,Status Code RCT,aaa,400,,RCT,N,53,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.2,M,Separator,Slant,,,,N,54,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3,M,Movement Detail RCT,,,,,N,55,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.1,M,Carrier Code ,mm,312,,,N,56,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.2,M,Separator,Slant,,,,N,57,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.3,M,Day of Transfer,nn,202,,,N,58,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.4,M,Month of Transfer,aaa,201,,,N,59,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.5,O,Actual Time ,nnnn,203,,,N,60,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.6,M,Separator,Slant,,,,N,61,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.3.7,M,Airport Code of Transfer,aaa,313,,,N,62,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4,M,Quantity Detail RCT,,,,,N,63,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4.1,M,Separator,Slant,,,,N,64,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4.2,M,Shipment Description Code,a,703,Y,,N,65,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4.3,M,Number of Pieces,n[...4],701,,,N,66,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4.4,O,Weight Code,a,601,Y,,N,67,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.4.5,O,Weight,n[...7]p,600,,,N,68,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.5,O,Separator,CRLF,,,,N,69,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.6,O,Received from Detail RCT,,,,,N,70,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.6.1,M,Separator,Slant,,,,N,71,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.6.2,M,Carrier Code,mm,312,,,N,72,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.6.3,O,Separator,Slant,,,,N,73,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.6.4,O,Name,t[...35],300,,,N,74,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
4.7,M,Separator,CRLF,,,,N,75,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5,O,Status Details RCF,,,,,N,76,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.1,M,Status Code RCF,aaa,400,,RCF,N,77,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.2,M,Separator,Slant,,,,N,78,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3,M,Movement Detail RCF,,,,,N,79,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.1,O,Carrier Code,mm,312,,,N,80,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.2,O,Flight Number,nnn(n)(a),800,,,N,81,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.3,M,Separator,Slant,,,,N,82,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.4,M,Day of Scheduled Arrival,nn,202,,,N,83,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.5,M,Month of Scheduled Arrival,aaa,201,,,N,84,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.6,O,Actual Time,nnnn,203,,,N,85,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.7,O,Separator,Hyphen,,,,N,86,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.8,O,Day Change Indicator,a,205,,,N,87,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.9,M,Separator,Slant,,,,N,88,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.3.10,M,Airport Code of Arrival,aaa,313,,,N,89,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4,M,Quantity Detail RCF,,,,,N,90,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4.1,M,Separator,Slant,,,,N,91,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4.2,M,Shipment Description Code,a,703,Y,,N,92,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4.3,M,Number of Pieces,n[...4],701,,,N,93,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4.4,O,Weight Code,a,601,Y,,N,94,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.4.5,O,Weight,n[...7]p,600,,,N,95,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.5,O,Separator,Slant,,,,N,96,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.6,O,Time of Departure Information RCF,,,,,N,97,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.6.1,M,Type of Time Indicator,a,206,,,N,98,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.6.2,M,Time,nnnn,203,,,N,99,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.6.3,O,Separator,Hyphen,,,,N,100,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.6.4,O,Day Change Indicator,a,205,,,N,101,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.7,O,Separator,Slant,,,,N,102,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.8,O,Time of Arrival Information RCF,,,,,N,103,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.8.1,M,Type of Time Indicator,a,206,,,N,104,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.8.2,M,Time,nnnn,203,,,N,105,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.8.3,O,Separator,Hyphen,,,,N,106,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.8.4,O,Day Change Indicator,a,205,,,N,107,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
5.9,M,Separator,CRLF,,,,N,108,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6,O,Status Details BKD,,,,,N,109,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.1,M,Status Code BKD,aaa,400,,BKD,N,110,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.2,M,Separator,Slant,,,,N,111,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3,M,Movement Detail BKD,,,,,N,112,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.1,O,Carrier Code,mm,312,,,N,113,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.2,O,Flight Number,nnn(n)(a),800,,,N,114,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.3,M,Separator,Slant,,,,N,115,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.4,O,Day of Scheduled Departure,nn,202,,,N,116,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.5,O,Month of Scheduled Departure,aaa,201,,,N,117,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.6,M,Separator,Slant,,,,N,118,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.7,M,Airport Code of Departure,aaa,313,,,N,119,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.3.8,M,Airport Code of Arrival,aaa,313,,,N,120,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4,M,Quantity Detail BKD,,,,,N,121,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4.1,M,Separator,Slant,,,,N,122,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4.2,M,Shipment Description Code,a,703,Y,,N,123,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4.3,M,Number of Pieces,n[...4],701,,,N,124,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4.4,O,Weight Code,a,601,Y,,N,125,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.4.5,O,Weight,n[...7]p,600,,,N,126,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.5,O,Separator,Slant,,,,N,127,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.6,O,Time of Departure Information BKD,,,,,N,128,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.6.1,M,Type of Time Indicator,a,206,,,N,129,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.6.2,M,Time,nnnn,203,,,N,130,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.6.3,O,Separator,Hyphen,,,,N,131,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.6.4,O,Day Change Indicator,a,205,,,N,132,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.7,O,Separator,Slant,,,,N,133,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.8,O,Time of Arrival Information BKD,,,,,N,134,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.8.1,M,Type of Time Indicator,a,206,,,N,135,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.8.2,M,Time,nnnn,203,,,N,136,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.8.3,O,Separator,Hyphen,,,,N,137,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.8.4,O,Day Change Indicator,a,205,,,N,138,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
6.10,O,Volume Detail BKD,,,,,N,139,47,FSU,14,FSU Message 14,CargoIMP,Y,01-FEB-14 11.45.53.0000000 AM,SYSTEM,,,1,,1,B,,,,
